Server,UserID,ATINTradeID,ATINOrderID,OrderID,ExchangeOrderNo,ExchangeTradeID,OrderTime,ExchangeOrderTime,ExchangeTradeTime,Exchange,SecurityID,Symbol,Expiry Date,SecurityType,OptionType,Side,OrderType,Quantity,PendingQuantity,Price,StrikePrice,ClientID,ReferenceText,ManagerID,MemberID,StrategyID,CTCLID,ProductType,OpenClose,Multiplier,Pancard,TerminalInfo,AlgoID,AlgoCategory,ParticipantID,Amount,Id
Default,M13,32,40,31,0HPYSW038,58547,20190513-11:05:18:1557,25718,20190513-11:05:46.262,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7535,0,M13,Spinmt:19032,M13,123,0,123,CCE,NONE,10,,,,0,,-75350,M13TTSIM:AM13CL CLX00220920
Default,M13,33,27,18,0HPYSW025,70939,20190513-11:11:39:1557,20190513-11:01:33.126,20190513-11:12:09.202,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7420,0,M13,Spinmt:19032,M13,123,0,123,CCE,NONE,10,,,,0,,-74200,M13TTSIM:AM13CL CLV00220921
Default,M13,34,41,32,0HPYSW039,70944,20190513-11:11:41:1557,26101,20190513-11:12:09.227,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7503,0,M13,Spinmt:19032,M13,123,0,123,CCE,NONE,10,,,,0,,75030,M13TTSIM:AM13CL CLX00220920
Default,M13,35,42,33,0HPYSW040,72270,20190513-11:12:16:1557,20190513-11:12:09.434,20190513-11:12:44.452,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7433,0,M13,Spinmt:19039,M13,123,0,123,CCE,NONE,10,,,,0,,74330,M13TTSIM:AM13CL CLV00220921
Default,M13,36,44,35,0HPYSW042,72275,20190513-11:12:16:1557,26136,20190513-11:12:44.536,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7511,0,M13,Spinmt:19040,M13,123,0,123,CCE,NONE,10,,,,0,,-75110,M13TTSIM:AM13CL CLX00220920
Default,M13,37,43,34,0HPYSW041,73131,20190513-11:12:34:1557,20190513-11:12:09.472,20190513-11:13:07.244,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7438,0,M13,Spinmt:19040,M13,123,0,123,CCE,NONE,10,,,,0,,-74380,M13TTSIM:AM13CL CLV00220921
Default,M13,38,45,36,0HPYSW043,73134,20190513-11:12:39:1557,20190513-11:13:07.310,20190513-11:13:07.311,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7521,0,M13,Spinmt:19040,M13,123,0,123,CCE,NONE,10,,,,0,,75210,M13TTSIM:AM13CL CLX00220920
Default,M13,39,46,37,0HPYSW044,73316,20190513-11:12:43:1557,20190513-11:13:08.297,20190513-11:13:11.053,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7439,0,M13,Spinmt:19041,M13,123,0,123,CCE,NONE,10,,,,0,,74390,M13TTSIM:AM13CL CLV00220921
Default,M13,40,48,39,0HPYSW046,73317,20190513-11:12:43:1557,20190513-11:13:11.121,20190513-11:13:11.121,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7517,0,M13,Spinmt:19042,M13,123,0,123,CCE,NONE,10,,,,0,,-75170,M13TTSIM:AM13CL CLX00220920
Default,M13,45,47,38,0HPYSW045,79095,20190513-11:15:02:1557,20190513-11:13:08.315,20190513-11:15:51.305,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7432,0,M13,Spinmt:19042,M13,123,0,123,CCE,NONE,10,,,,0,,-74320,M13TTSIM:AM13CL CLV00220921
